"Title","Description","Status","Priority","Estimate","Labels","Project"
"Pipeline de templates em 5 camadas","O motor antigo tinha ~25 regras escritas à mão, cada uma procurando uma frase específica em francês de UM template. Nenhuma funcionava nos 7 templates novos, que chegaram em 6 idiomas (ingles, catalao, alemao, bulgaro, espanhol, frances). Manter aquele método exigiria ~200 regras impossíveis de revisar.

**Feito:** catálogo (nicho→template), preparador (extrai texto por POSIÇÃO em bytes, funciona em qualquer idioma), classificador com IA, compilador e seletor.

**Divisão que sustenta o produto:** IA roda uma vez por template (~90s, ~R$ 0,40); gerar site é troca de texto (14ms, R$ 0,00).

**Aceite:** 12 nichos compilando e aprovados na auditoria. Verificado.","Done","Urgent","13","motor-sites,arquitetura","Motor de Sites"
"Traduzir e classificar os 8 templates para pt-BR","935 trechos de texto processados, **nenhum perdido**.

Cada trecho recebe um destino: `traduzir` (interface), `variavel` (vira {{NOME}}, {{ENDERECO}}...) ou `adaptar` (produto do dono original vira equivalente brasileiro).

Sem essa separação o site sairia em português falando de outra empresa — traduzir 'Little Latte Cafe' não resolve nada.

**Repescagem:** a IA pulava trechos em silêncio; um deles era um CEP canadense. Segunda passada recuperou 28 trechos em 3 templates.","Done","Urgent","8","motor-sites,conteudo","Motor de Sites"
"Remover o rastreador do 77lib dos sites entregues ao cliente","Todo template do 77lib embute o Google Analytics deles (`G-2M6V79H761`). Confirmado em 2 templates distintos, ou seja, é sistemático. Cada visitante do site do SEU cliente era contado por outra empresa.

**Feito:** 17 scripts removidos na preparação dos 8 templates.","Done","High","2","motor-sites,privacidade","Motor de Sites"
"Auditoria: bloquear moeda estrangeira no site gerado","Uma padaria em Franca saiu com o cardápio em dólar ($6, $7, $5) e a auditoria aprovou. Causa dupla: o filtro de extração descartava '$6' como 'texto sem valor', e a auditoria não checava moeda.

**Feito:** extração passou a capturar preço e telefone; auditoria ganhou a regra. 45 preços neutralizados nos 8 templates.

**Decisão de produto:** todo preço vira 'Sob consulta'. Não sabemos o que o cliente cobra, e a IA provou que inventa — escreveu 'Entrada: R$ 1.000.000' numa pousada e '$ 50' num template búlgaro.","Done","Urgent","3","motor-sites,integridade","Integridade de Dados"
"Trava de alinhamento entre plano de tradução e extração","O plano guarda posições por id. Quando a extração passou a capturar telefones, o número de trechos mudou em 5 templates e os ids deslocaram — o plano colaria cada texto no lugar errado, produzindo uma página embaralhada SEM erro nenhum aparecendo.

**Feito:** verificação que compara plano e extração e se recusa a gerar quando divergem. Pegou os 5 exatos.","Done","High","2","motor-sites,qualidade","Motor de Sites"
"Corrigir regra de marcas que destruía classificações corretas","A regra que força a marca do template original a virar {{NOME}} olhava o texto ORIGINAL. Resultado: 'hello@exoape.com' já tinha sido corretamente classificado como {{EMAIL}}, mas a regra via 'exoape.com' no original e sobrescrevia com {{NOME}}.

O site sairia com o nome da empresa nos campos de e-mail, telefone, endereço, cidade e estado.

**Feito:** a regra só age se o resíduo sobreviveu no RESULTADO.","Done","Urgent","1","motor-sites,bug","Motor de Sites"
"Substituir contatos do template original que ficam em atributos","A extração de texto só enxerga o que está entre tags, então `href=""mailto:hello@exoape.com""` sobrevivia intacto em 3 templates. O site do cliente saía com o e-mail da agência holandesa.

**Feito:** reescrita de `mailto:` e `tel:` no compilador.","Done","High","1","motor-sites,bug","Motor de Sites"
"Trocar o vídeo do negócio original por imagem do nicho","O template genérico tocava o vídeo institucional da agência holandesa no site do cliente. Estava em `<video><source>`, que a troca de imagens não alcançava.

**Feito:** o `<source>` sai e o `<video>` ganha um `poster` com a imagem do nicho — quadro estático coerente até o dono subir o dele.","Done","High","2","motor-sites,bug","Motor de Sites"
"Corrigir HTTP 409 ao salvar site (duplicate key)","Erro visível no terminal do operador:

`duplicate key value violates unique constraint ""sites_user_slug_idx""`

O handler fazia SELECT para checar existência e só então INSERT. Entre os dois havia uma brecha: o editor e o chatbot salvam quase juntos, os dois liam 'nao existe' e os dois tentavam criar. O segundo batia na trava do banco.

**Feito:** `upsert` com `on_conflict=user_id,slug` — o Postgres decide entre criar e atualizar numa operação só. Cota passou a ser cobrada apenas quando o registro nasce.","Done","Urgent","2","persistencia,backend,bug","Persistência"
"Publicar os 8 templates na loja, sem preço","A loja mostrava 2 templates, ambos por R$ 19,90 — valor que vinha fixo do backend (`PRECO_PADRAO_CENTAVOS = 1990`). Todo template importado nascia com preço que ninguém decidiu.

**Feito:** preço padrão zero, selo escondido quando não há valor, e os 8 templates do catálogo importados. Loja com 9.","Done","Medium","3","loja,frontend","Loja de Templates"
